企業名,MBTI,相性のいいMBTI,Webサイト,業界カテゴリ,企業規模,企業文化,働き方,求められるスキル・特性,評価制度,,,,,,,,,,,
レバレジーズ,ENTP,"INFJ, INTP, ENTP, ENTJ",https://leverages.jp/,IT・医療,大規模,チームワーク重視,フレックスタイム制あり,分析力・リーダーシップ,実力主義,,,,,,,,,,,
キャリアデザインセンター,INFJ,"ENFP, ENTP, INFJ, INTP",https://www.careerdesign.co.jp/,人材,中規模,成長志向・ベンチャー,裁量労働制,提案力・営業力,年功序列寄り,,,,,,,,,,,
ジェイエイシーリクルートメント,ISTJ,"ESTP, ENTP, ISTJ, INTJ",https://www.jac-recruitment.jp/,人材,大規模,成果主義・グローバル志向,リモートワーク可,交渉力・英語力,グローバル評価制度,,,,,,,,,,,
サポタント,INTP,"ENTP, INTP, INFJ, INTJ",https://www.sapotant.co.jp/,IT・Web,小規模,クリエイティブ重視,フレックス制,デザイン力・開発スキル,スキル重視,,,,,,,,,,,
ファインディ,INTP,"ENTP, INTP, INFJ, INTJ",https://findy.co.jp/,エンジニアリング,中規模,技術力重視,リモートワーク可,プログラミング・問題解決力,技術貢献度評価,,,,,,,,,,,
クラウドリンクス,ENFP,"INFJ, INTJ, ENFP, ENTP",https://cloudlinks.jp/,フリーランス,小規模,柔軟な働き方,フリーランスOK,自己管理能力・柔軟性,自由評価,,,,,,,,,,,
グローバルウェイ,ENTP,"INFJ, INTP, ENTP, ENTJ",https://www.globalway.co.jp/,メディア,中規模,オープンな文化,フルリモート,ライティング力・分析力,パフォーマンス評価,,,,,,,,,,,
グローアップ,ENFP,"INFJ, INTJ, ENFP, ENTP",https://www.grow-up1.co.jp/,人材,小規模,若手活躍,副業可,営業力・コミュニケーション,営業成績評価,,,,,,,,,,,
クリーク・アンド・リバー社,ISFP,"ESFP, ISFP, ISTP, INFP",https://www.cri.co.jp/,クリエイター,中規模,デザイン志向,フルフレックス,アートセンス・企画力,クリエイティブ評価,,,,,,,,,,,
SHIFT,INTJ,"ENTP, INTP, ENTJ, INFJ",https://www.shiftinc.jp/,エンジニアリング,大規模,成果主義・技術力重視,リモートワーク可,ソフトウェアテスト・品質管理,実力主義,,,,,,,,,,,
ワークスアプリケーションズ,INTP,"ENTP, INTP, INFJ, INTJ",https://www.worksap.co.jp/,IT,大規模,成果主義・技術革新志向,フルリモート可,ERP開発・データ分析,成果評価制度,,,,,,,,,,,
TechClips,INTP,"ENTP, INTP, INFJ, INTJ",https://tech-clips.com/,ITエンジニア特化,小規模,フリーランス支援・エンジニアファースト,フレックス可,プログラミング・案件マッチング力,フリーランス型報酬,,,,,,,,,,,
トライブ,ENTP,"INFJ, INTP, ENTP, ENTJ",https://www.tribe.bz/,Web・ゲーム,小規模,クリエイティブ志向・自由な風土,フルリモート可,ゲーム開発・デザイン力,実績評価,,,,,,,,,,,
ムービンストラテジックキャリア,ENTJ,"INTJ, ENTP, ENTJ, ENTP",https://www.movin.co.jp/,コンサル,中規模,成果主義・グローバル思考,フレックス可,コンサルタントスキル・分析力,成果ベース評価,,,,,,,,,,,
エージェントグロー,ENFP,"INFJ, INTJ, ENFP, ENTP",https://agent-grow.com/,フリーランス支援,小規模,エンジニア支援・スキル重視,リモート可,フリーランス契約交渉力・開発スキル,案件ベース評価,,,,,,,,,,,
マスメディアン,ESFJ,"ISFJ, ESTJ, ESFJ, ENFJ",https://www.massmedian.co.jp/,広告・出版,中規模,クリエイティブ志向・メディア特化,フレックス制,ライティング・マーケティング,業績評価,,,,,,,,,,,
マーキュリー,ESFP,"ISFP, ESFP, ESTP, ENFP",https://mercury-group.co.jp/,販売,大規模,営業力重視・教育制度充実,シフト勤務,販売・接客スキル,営業成果評価,,,,,,,,,,,
メイテックネクスト,INTP,"ENTP, INTP, INFJ, INTJ",https://www.meitec-next.jp/,エンジニア特化人材,中規模,技術者支援・長期キャリア重視,リモート可,エンジニア採用・キャリア相談力,成果ベース評価,,,,,,,,,,,
HRMOS,INTJ,"ENTP, INTP, ENTJ, INFJ",https://hrmos.co/,採用管理SaaS,中規模,テクノロジー活用・人事支援,フルリモート可,採用データ分析・SaaS開発,成果評価,,,,,,,,,,,
ジョブカン,ISTJ,"ESTP, ENTP, ISTJ, INTJ",https://jobcan.ne.jp/,勤怠管理SaaS,中規模,ユーザー志向・シンプルな文化,フルリモート可,勤怠管理システム開発・運用,成果主義,,,,,,,,,,,
カオナビ,INFJ,"ENFP, ENTP, INFJ, INTP",https://www.kaonavi.jp/,タレントマネジメントSaaS,中規模,データドリブン・オープンな文化,フルリモート可,人材管理システム・HR分析,成果主義,,,,,,,,,,,
HERP,ENTP,"INFJ, INTP, ENTP, ENTJ",https://herp.co.jp/,採用支援,小規模,スタートアップ文化・柔軟性,リモート可,採用プロセス設計・HRテック開発,実力評価,,,,,,,,,,,
ジョブオプ,INTP,"ENTP, INTP, INFJ, INTJ",https://jobop.jp/,AIキャリア診断,小規模,AI活用・革新志向,リモート可,機械学習・キャリアマッチング,データドリブン評価,,,,,,,,,,,
TalentX,ENTP,"INFJ, INTP, ENTP, ENTJ",https://talentx.co.jp/,タレントマネジメント,小規模,HRテック・グローバル志向,リモート可,人材データ分析・SaaS開発,実力評価,,,,,,,,,,,
エンゲージ,ENFP,"INFJ, INTJ, ENFP, ENTP",https://en-gage.net/,採用サイト構築,中規模,採用DX推進・自由な文化,フルリモート可,採用マーケティング・Web開発,成果評価,,,,,,,,,,,
JobRainbow,ENFP,"INFJ, INTJ, ENFP, ENTP",https://jobrainbow.jp/,LGBTQ特化,小規模,ダイバーシティ重視,フルリモート可,コミュニティ運営・企業支援,成果主義,,,,,,,,,,,
Hacobu,ESTJ,"ISTJ, ESTP, ESFJ, ENTJ",https://www.hacobu.jp/,物流×人材,中規模,ロジスティクス改革,リモート可,物流DX・データ分析,実力評価,,,,,,,,,,,
ストックマーク,INTP,"ENTP, INTP, INFJ, INTJ",https://www.stockmark.co.jp/,AI×HR,小規模,AI活用・イノベーション志向,フルリモート可,機械学習・HRデータ分析,成果主義,,,,,,,,,,,
タレントクラウド,INTJ,"ENTP, INTP, ENTJ, INFJ",https://corp.talentcloud.jp/,HRテック,小規模,人材マッチング,リモート可,HRテック開発・エンジニアリング,実力評価,,,,,,,,,,,
Findy,INTP,"ENTP, INTP, INFJ, INTJ",https://findy.jp/,エンジニア転職,小規模,エンジニア重視,フルリモート可,プログラミング評価・マッチング,成果主義,,,,,,,,,,,
プログリット,ENFJ,"INFJ, ENTP, ENFJ, ESFJ",https://www.progrit.co.jp/,英語×キャリア,中規模,学習支援・自己成長志向,フルリモート可,コーチング・英語スキル,成果評価,,,,,,,,,,,
HiTalent,INTP,"ENTP, INTP, INFJ, INTJ",https://hitalent.co.jp,エンジニア転職,小規模,スタートアップ文化,フレックス可,採用支援・キャリアコンサル,実力主義,,,,,,,,,,,
grooves,ENTP,"INFJ, INTP, ENTP, ENTJ",https://www.grooves.com/,エージェント向け,中規模,採用支援・人材DX,リモート可,エージェントマッチング・人事知識,実力評価,,,,,,,,,,,
ペイミー,ESTP,"ISTJ, ENTP, ESTP, ESFP",https://payme.tokyo/,給与即時払い,小規模,フィンテック×HR,フルリモート可,給与システム・金融知識,成果評価,,,,,,,,,,,
RECEPTIONIST,ISFJ,"ESFJ, ISTJ, ISFJ, ISTP",https://receptionist.jp/,クラウド受付,小規模,ITスタートアップ・柔軟性,フルリモート可,SaaS開発・カスタマーサポート,成果主義,,,,,,,,,,,
Timee,ESFP,"ISFP, ESFP, ESTP, ENFP",https://timee.co.jp/,スキマバイト,小規模,フレキシブルワーク推奨,リモート可,マーケットプレイス運営・モバイル開発,実力評価,,,,,,,,,,,
HRog,INTP,"ENTP, INTP, INFJ, INTJ",https://hrog.net/,HR業界メディア,小規模,採用DX推進,フルリモート可,HRマーケティング・コンテンツ制作,成果評価,,,,,,,,,,,
"HELLO, VISITS",ENFP,"INFJ, INTJ, ENFP, ENTP",https://hello.visits.world/,新卒向け採用支援,小規模,若手支援・キャリア開発,フレックス可,採用支援・キャリアアドバイザー,実力評価,,,,,,,,,,,
flier,INTP,"ENTP, INTP, INFJ, INTJ",https://www.flierinc.com/,ビジネス書×教育,小規模,学習支援・知識共有,リモート可,コンテンツ制作・マーケティング,成果主義,,,,,,,,,,,
G’s ACADEMY,ENTP,"INFJ, INTP, ENTP, ENTJ",https://gsacademy.jp/,エンジニア養成,小規模,技術教育・スタートアップ支援,リモート可,プログラミング教育・キャリア支援,実力評価,,,,,,,,,,,
プロフィット,ISTJ,"ESTP, ENTP, ISTJ, INTJ",https://www.pft.co.jp/,人材DX,小規模,DX推進・HRテック,フルリモート可,データ分析・エンジニアリング,成果主義,,,,,,,,,,,
One Career,INFJ,"ENFP, ENTP, INFJ, INTP",https://www.onecareer.jp/,就活支援,中規模,学生向け・情報提供,リモート可,キャリアアドバイス・データ分析,実力評価,,,,,,,,,,,
LinkedIn Japan,ENTP,"INFJ, INTP, ENTP, ENTJ",https://jp.linkedin.com/,外資系人材,大規模,グローバル・プロフェッショナル,フルリモート可,B2B営業・マーケティング,成果主義,,,,,,,,,,,
Indeed Japan,ESTJ,"ISTJ, ESTP, ESFJ, ENTJ",https://jp.indeed.com/,求人検索エンジン,大規模,グローバル・データドリブン,フルリモート可,デジタルマーケティング・データ分析,成果主義,,,,,,,,,,,
Glassdoor Japan,INTP,"ENTP, INTP, INFJ, INTJ",https://www.glassdoor.com/index.htm,企業口コミ・採用情報,大規模,透明性・データ活用,フルリモート可,コンテンツ制作・マーケティング,成果主義,,,,,,,,,,,
Workday Japan,INTJ,"ENTP, INTP, ENTJ, INFJ",https://www.workday.com/ja-jp/homepage.html,HRテックSaaS,大規模,クラウドHR・グローバル,フルリモート可,SaaS開発・データ分析,成果主義,,,,,,,,,,,
HackerRank Japan,INTP,"ENTP, INTP, INFJ, INTJ",https://www.hackerrank.com/,プログラミング評価,大規模,エンジニア支援・技術力重視,フルリモート可,コーディングスキル・アルゴリズム設計,実力評価,,,,,,,,,,,
